Year,Quarter,Type of application,Institution type group,Geographical region,Nationality, Applications 
2010,2010 Q4,Visa,Higher Education institution,Africa Sub-Saharan,Guinea,1
2010,2010 Q4,Visa,Higher Education institution,America Central and South,Guyana,9
2010,2010 Q4,Visa,Higher Education institution,America Central and South,Honduras,1
2010,2010 Q4,Visa,Higher Education institution,Asia East,Hong Kong,82
2010,2010 Q4,Visa,Higher Education institution,EU 8,Hungary,1
2010,2010 Q4,Visa,Higher Education institution,Asia South,India,2850
2010,2010 Q4,Visa,Higher Education institution,Asia South East,Indonesia,62
2010,2010 Q4,Visa,Higher Education institution,Middle East,Iran,238
2010,2010 Q4,Visa,Higher Education institution,Middle East,Iraq,92
2010,2010 Q4,Visa,Higher Education institution,Middle East,Israel,37
2010,2010 Q4,Visa,Higher Education institution,Africa Sub-Saharan,Ivory Coast,4
2010,2010 Q4,Visa,Higher Education institution,America Central and South,Jamaica,4
2010,2010 Q4,Visa,Higher Education institution,Asia East,Japan,127
2010,2010 Q4,Visa,Higher Education institution,Middle East,Jordan,128
2010,2010 Q4,Visa,Higher Education institution,Asia Central,Kazakhstan,116
2010,2010 Q4,Visa,Higher Education institution,Africa Sub-Saharan,Kenya,111
2010,2010 Q4,Visa,Higher Education institution,Europe Other,Kosovo,5
2010,2010 Q4,Visa,Higher Education institution,Middle East,Kuwait,230
2010,2010 Q4,Visa,Higher Education institution,Asia Central,Kyrgyzstan,3
2010,2010 Q4,Visa,Higher Education institution,Middle East,Lebanon,35
2010,2010 Q4,Visa,Higher Education institution,Africa Sub-Saharan,Lesotho,2
2010,2010 Q4,Visa,Higher Education institution,Africa Sub-Saharan,Liberia,3
2010,2010 Q4,Visa,Higher Education institution,Africa North,Libya,343
2010,2010 Q4,Visa,Higher Education institution,Africa Sub-Saharan,Madagascar,2
2010,2010 Q4,Visa,Higher Education institution,Africa Sub-Saharan,Malawi,31
2010,2010 Q4,Visa,Higher Education institution,Asia South East,Malaysia,498
2010,2010 Q4,Visa,Higher Education institution,Asia South,Maldives,8
2010,2010 Q4,Visa,Higher Education institution,Africa Sub-Saharan,Mali,1
2010,2010 Q4,Visa,Higher Education institution,Africa North,Mauritania,3
2010,2010 Q4,Visa,Higher Education institution,Africa Sub-Saharan,Mauritius,33
2010,2010 Q4,Visa,Higher Education institution,America Central and South,Mexico,135
2010,2010 Q4,Visa,Higher Education institution,Europe Other,Monaco,2
2010,2010 Q4,Visa,Higher Education institution,Asia East,Mongolia,13
2010,2010 Q4,Visa,Higher Education institution,Europe Other,Montenegro,3
2010,2010 Q4,Visa,Higher Education institution,Africa North,Morocco,28
2010,2010 Q4,Visa,Higher Education institution,Africa Sub-Saharan,Mozambique,4
2010,2010 Q4,Visa,Higher Education institution,Asia South East,Myanmar (Burma),16
2010,2010 Q4,Visa,Higher Education institution,Africa Sub-Saharan,Namibia,2
2010,2010 Q4,Visa,Higher Education institution,Asia South,Nepal,68
2010,2010 Q4,Visa,Higher Education institution,Oceania,New Zealand,18
2010,2010 Q4,Visa,Higher Education institution,America Central and South,Nicaragua,1
2010,2010 Q4,Visa,Higher Education institution,Africa Sub-Saharan,Niger,2
2010,2010 Q4,Visa,Higher Education institution,Africa Sub-Saharan,Nigeria,1636
2010,2010 Q4,Visa,Higher Education institution,Asia East,North Korea,5
2010,2010 Q4,Visa,Higher Education institution,Europe Other,North Macedonia,5
2010,2010 Q4,Visa,Higher Education institution,Europe Other,Norway,1
2010,2010 Q4,Visa,Higher Education institution,Middle East,Occupied Palestinian Territories,17
2010,2010 Q4,Visa,Higher Education institution,Middle East,Oman,66
2010,2010 Q4,Visa,Higher Education institution,Other,Other and unknown,10
2010,2010 Q4,Visa,Higher Education institution,Asia South,Pakistan,623
2010,2010 Q4,Visa,Higher Education institution,America Central and South,Panama,2
2010,2010 Q4,Visa,Higher Education institution,America Central and South,Peru,13
2010,2010 Q4,Visa,Higher Education institution,Asia South East,Philippines,57
2010,2010 Q4,Visa,Higher Education institution,EU 8,Poland,1
2010,2010 Q4,Visa,Higher Education institution,Middle East,Qatar,96
2010,2010 Q4,Visa,Higher Education institution,Other,Refugee,3
2010,2010 Q4,Visa,Higher Education institution,Europe Other,Russia,287
2010,2010 Q4,Visa,Higher Education institution,Africa Sub-Saharan,Rwanda,12
2010,2010 Q4,Visa,Higher Education institution,Middle East,Saudi Arabia,1131
2010,2010 Q4,Visa,Higher Education institution,Africa Sub-Saharan,Senegal,14
2010,2010 Q4,Visa,Higher Education institution,Europe Other,Serbia,28
2010,2010 Q4,Visa,Higher Education institution,Africa Sub-Saharan,Sierra Leone,12
2010,2010 Q4,Visa,Higher Education institution,Asia South East,Singapore,83
2010,2010 Q4,Visa,Higher Education institution,Oceania,Solomon Islands,2
2010,2010 Q4,Visa,Higher Education institution,Africa Sub-Saharan,South Africa,30
2010,2010 Q4,Visa,Higher Education institution,Asia East,South Korea,189
2010,2010 Q4,Visa,Higher Education institution,Asia South,Sri Lanka,263
2010,2010 Q4,Visa,Higher Education institution,America Central and South,St Lucia,5
2010,2010 Q4,Visa,Higher Education institution,America Central and South,St Vincent and the Grenadines,8
2010,2010 Q4,Visa,Higher Education institution,Africa North,Sudan,32
2010,2010 Q4,Visa,Higher Education institution,Middle East,Syria,58
2010,2010 Q4,Visa,Higher Education institution,Asia East,Taiwan,103
2010,2010 Q4,Visa,Higher Education institution,Asia Central,Tajikistan,2
2010,2010 Q4,Visa,Higher Education institution,Africa Sub-Saharan,Tanzania,67
2010,2010 Q4,Visa,Higher Education institution,Asia South East,Thailand,309
2010,2010 Q4,Visa,Higher Education institution,Africa Sub-Saharan,Togo,2
2010,2010 Q4,Visa,Higher Education institution,America Central and South,Trinidad and Tobago,51
2010,2010 Q4,Visa,Higher Education institution,Africa North,Tunisia,9
2010,2010 Q4,Visa,Higher Education institution,Europe Other,Turkey,135
2010,2010 Q4,Visa,Higher Education institution,Asia Central,Turkmenistan,1
2010,2010 Q4,Visa,Higher Education institution,Africa Sub-Saharan,Uganda,48
2010,2010 Q4,Visa,Higher Education institution,Europe Other,Ukraine,65
2010,2010 Q4,Visa,Higher Education institution,Middle East,United Arab Emirates,100
2010,2010 Q4,Visa,Higher Education institution,America North,United States,885
2010,2010 Q4,Visa,Higher Education institution,Asia Central,Uzbekistan,6
2010,2010 Q4,Visa,Higher Education institution,America Central and South,Venezuela,18
2010,2010 Q4,Visa,Higher Education institution,Asia South East,Vietnam,255
2010,2010 Q4,Visa,Higher Education institution,Middle East,Yemen,10
2010,2010 Q4,Visa,Higher Education institution,Africa Sub-Saharan,Zambia,20
2010,2010 Q4,Visa,Higher Education institution,Africa Sub-Saharan,Zimbabwe,32
2010,2010 Q4,Extensions of stay,Higher Education institution,Asia Central,Afghanistan,11
2010,2010 Q4,Extensions of stay,Higher Education institution,Europe Other,Albania,32
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa North,Algeria,21
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Angola,53
2010,2010 Q4,Extensions of stay,Higher Education institution,America Central and South,Argentina,2
2010,2010 Q4,Extensions of stay,Higher Education institution,Europe Other,Armenia,5
2010,2010 Q4,Extensions of stay,Higher Education institution,Oceania,Australia,43
2010,2010 Q4,Extensions of stay,Higher Education institution,Europe Other,Azerbaijan,16
2010,2010 Q4,Extensions of stay,Higher Education institution,America Central and South,"Bahamas, The",5
2010,2010 Q4,Extensions of stay,Higher Education institution,Middle East,Bahrain,12
2010,2010 Q4,Extensions of stay,Higher Education institution,Asia South,Bangladesh,296
2010,2010 Q4,Extensions of stay,Higher Education institution,America Central and South,Barbados,8
2010,2010 Q4,Extensions of stay,Higher Education institution,Europe Other,Belarus,13
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Benin,3
2010,2010 Q4,Extensions of stay,Higher Education institution,Asia South,Bhutan,3
2010,2010 Q4,Extensions of stay,Higher Education institution,America Central and South,Bolivia,4
2010,2010 Q4,Extensions of stay,Higher Education institution,Europe Other,Bosnia and Herzegovina,4
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Botswana,9
2010,2010 Q4,Extensions of stay,Higher Education institution,America Central and South,Brazil,55
2010,2010 Q4,Extensions of stay,Higher Education institution,Asia South East,Brunei,36
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Burkina Faso,2
2010,2010 Q4,Extensions of stay,Higher Education institution,Asia South East,Cambodia,3
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Cameroon,44
2010,2010 Q4,Extensions of stay,Higher Education institution,America North,Canada,111
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Cape Verde,2
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Central African Republic,1
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Chad,1
2010,2010 Q4,Extensions of stay,Higher Education institution,America Central and South,Chile,25
2010,2010 Q4,Extensions of stay,Higher Education institution,Asia East,China,15378
2010,2010 Q4,Extensions of stay,Higher Education institution,America Central and South,Colombia,100
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Congo,8
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Congo (Democratic Republic),7
2010,2010 Q4,Extensions of stay,Higher Education institution,America Central and South,Costa Rica,1
2010,2010 Q4,Extensions of stay,Higher Education institution,EU Other,Croatia,3
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Djibouti,1
2010,2010 Q4,Extensions of stay,Higher Education institution,America Central and South,Dominica,1
2010,2010 Q4,Extensions of stay,Higher Education institution,America Central and South,Ecuador,7
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa North,Egypt,59
2010,2010 Q4,Extensions of stay,Higher Education institution,America Central and South,El Salvador,1
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Equatorial Guinea,2
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Eritrea,2
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Eswatini,1
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Ethiopia,6
2010,2010 Q4,Extensions of stay,Higher Education institution,Oceania,Fiji,2
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa Sub-Saharan,"Gambia, The",29
2010,2010 Q4,Extensions of stay,Higher Education institution,Europe Other,Georgia,15
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Ghana,76
2010,2010 Q4,Extensions of stay,Higher Education institution,America Central and South,Grenada,1
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Guinea,6
2010,2010 Q4,Extensions of stay,Higher Education institution,America Central and South,Guyana,3
2010,2010 Q4,Extensions of stay,Higher Education institution,America Central and South,Haiti,1
2010,2010 Q4,Extensions of stay,Higher Education institution,America Central and South,Honduras,1
2010,2010 Q4,Extensions of stay,Higher Education institution,Asia East,Hong Kong,186
2010,2010 Q4,Extensions of stay,Higher Education institution,Asia South,India,1634
2010,2010 Q4,Extensions of stay,Higher Education institution,Asia South East,Indonesia,72
2010,2010 Q4,Extensions of stay,Higher Education institution,Middle East,Iran,453
2010,2010 Q4,Extensions of stay,Higher Education institution,Middle East,Iraq,77
2010,2010 Q4,Extensions of stay,Higher Education institution,Middle East,Israel,7
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Ivory Coast,2
2010,2010 Q4,Extensions of stay,Higher Education institution,America Central and South,Jamaica,30
2010,2010 Q4,Extensions of stay,Higher Education institution,Asia East,Japan,379
2010,2010 Q4,Extensions of stay,Higher Education institution,Middle East,Jordan,88
2010,2010 Q4,Extensions of stay,Higher Education institution,Asia Central,Kazakhstan,87
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Kenya,104
2010,2010 Q4,Extensions of stay,Higher Education institution,Europe Other,Kosovo,1
2010,2010 Q4,Extensions of stay,Higher Education institution,Middle East,Kuwait,50
2010,2010 Q4,Extensions of stay,Higher Education institution,Asia Central,Kyrgyzstan,5
2010,2010 Q4,Extensions of stay,Higher Education institution,Asia South East,Laos,1
2010,2010 Q4,Extensions of stay,Higher Education institution,Middle East,Lebanon,14
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Lesotho,1
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa North,Libya,258
2010,2010 Q4,Extensions of stay,Higher Education institution,Asia East,Macau,4
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Madagascar,1
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Malawi,23
2010,2010 Q4,Extensions of stay,Higher Education institution,Asia South East,Malaysia,580
2010,2010 Q4,Extensions of stay,Higher Education institution,Asia South,Maldives,13
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Mali,1
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa North,Mauritania,1
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Mauritius,85
2010,2010 Q4,Extensions of stay,Higher Education institution,America Central and South,Mexico,41
2010,2010 Q4,Extensions of stay,Higher Education institution,Europe Other,Moldova,6
2010,2010 Q4,Extensions of stay,Higher Education institution,Asia East,Mongolia,24
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa North,Morocco,13
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Mozambique,3
2010,2010 Q4,Extensions of stay,Higher Education institution,Asia South East,Myanmar (Burma),39
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Namibia,2
2010,2010 Q4,Extensions of stay,Higher Education institution,Asia South,Nepal,73
2010,2010 Q4,Extensions of stay,Higher Education institution,Oceania,New Zealand,19
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Niger,3
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Nigeria,1397
2010,2010 Q4,Extensions of stay,Higher Education institution,Asia East,North Korea,7
2010,2010 Q4,Extensions of stay,Higher Education institution,Europe Other,North Macedonia,6
2010,2010 Q4,Extensions of stay,Higher Education institution,Middle East,Occupied Palestinian Territories,12
2010,2010 Q4,Extensions of stay,Higher Education institution,Middle East,Oman,17
2010,2010 Q4,Extensions of stay,Higher Education institution,Other,Other and unknown,44
2010,2010 Q4,Extensions of stay,Higher Education institution,Asia South,Pakistan,791
2010,2010 Q4,Extensions of stay,Higher Education institution,America Central and South,Panama,3
2010,2010 Q4,Extensions of stay,Higher Education institution,America Central and South,Peru,10
2010,2010 Q4,Extensions of stay,Higher Education institution,Asia South East,Philippines,42
2010,2010 Q4,Extensions of stay,Higher Education institution,Middle East,Qatar,15
2010,2010 Q4,Extensions of stay,Higher Education institution,Other,Refugee,1
2010,2010 Q4,Extensions of stay,Higher Education institution,Europe Other,Russia,235
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Rwanda,4
2010,2010 Q4,Extensions of stay,Higher Education institution,Middle East,Saudi Arabia,1229
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Senegal,9
2010,2010 Q4,Extensions of stay,Higher Education institution,Europe Other,Serbia,6
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Seychelles,4
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Sierra Leone,8
2010,2010 Q4,Extensions of stay,Higher Education institution,Asia South East,Singapore,62
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa Sub-Saharan,South Africa,29
2010,2010 Q4,Extensions of stay,Higher Education institution,Asia East,South Korea,600
2010,2010 Q4,Extensions of stay,Higher Education institution,Asia South,Sri Lanka,316
2010,2010 Q4,Extensions of stay,Higher Education institution,America Central and South,St Lucia,6
2010,2010 Q4,Extensions of stay,Higher Education institution,America Central and South,St Vincent and the Grenadines,3
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa North,Sudan,23
2010,2010 Q4,Extensions of stay,Higher Education institution,Middle East,Syria,78
2010,2010 Q4,Extensions of stay,Higher Education institution,Asia East,Taiwan,759
2010,2010 Q4,Extensions of stay,Higher Education institution,Asia Central,Tajikistan,3
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Tanzania,58
2010,2010 Q4,Extensions of stay,Higher Education institution,Asia South East,Thailand,949
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Togo,2
2010,2010 Q4,Extensions of stay,Higher Education institution,America Central and South,Trinidad and Tobago,36
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa North,Tunisia,6
2010,2010 Q4,Extensions of stay,Higher Education institution,Europe Other,Turkey,162
2010,2010 Q4,Extensions of stay,Higher Education institution,Asia Central,Turkmenistan,9
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Uganda,33
2010,2010 Q4,Extensions of stay,Higher Education institution,Europe Other,Ukraine,43
2010,2010 Q4,Extensions of stay,Higher Education institution,Middle East,United Arab Emirates,20
2010,2010 Q4,Extensions of stay,Higher Education institution,America North,United States,300
2010,2010 Q4,Extensions of stay,Higher Education institution,Asia Central,Uzbekistan,16
2010,2010 Q4,Extensions of stay,Higher Education institution,America Central and South,Venezuela,29
2010,2010 Q4,Extensions of stay,Higher Education institution,Asia South East,Vietnam,386
2010,2010 Q4,Extensions of stay,Higher Education institution,Middle East,Yemen,20
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Zambia,33
2010,2010 Q4,Extensions of stay,Higher Education institution,Africa Sub-Saharan,Zimbabwe,38
2010,2010 Q4,Visa,All other institutions,Asia Central,Afghanistan,101
2010,2010 Q4,Visa,All other institutions,Europe Other,Albania,79
2010,2010 Q4,Visa,All other institutions,Africa North,Algeria,105
2010,2010 Q4,Visa,All other institutions,Africa Sub-Saharan,Angola,22
2010,2010 Q4,Visa,All other institutions,America Central and South,Argentina,16
2010,2010 Q4,Visa,All other institutions,Europe Other,Armenia,7
2010,2010 Q4,Visa,All other institutions,Oceania,Australia,34
2010,2010 Q4,Visa,All other institutions,Europe Other,Azerbaijan,47
2010,2010 Q4,Visa,All other institutions,America Central and South,"Bahamas, The",3
2010,2010 Q4,Visa,All other institutions,Middle East,Bahrain,42
2010,2010 Q4,Visa,All other institutions,Asia South,Bangladesh,2757
2010,2010 Q4,Visa,All other institutions,America Central and South,Barbados,1
2010,2010 Q4,Visa,All other institutions,Europe Other,Belarus,11
2010,2010 Q4,Visa,All other institutions,Africa Sub-Saharan,Benin,4
2010,2010 Q4,Visa,All other institutions,America Central and South,Bolivia,8
2010,2010 Q4,Visa,All other institutions,Europe Other,Bosnia and Herzegovina,3
2010,2010 Q4,Visa,All other institutions,Africa Sub-Saharan,Botswana,8
2010,2010 Q4,Visa,All other institutions,America Central and South,Brazil,290
2010,2010 Q4,Visa,All other institutions,Asia South East,Brunei,23
2010,2010 Q4,Visa,All other institutions,Africa Sub-Saharan,Burkina Faso,2
2010,2010 Q4,Visa,All other institutions,Africa Sub-Saharan,Burundi,5
2010,2010 Q4,Visa,All other institutions,Asia South East,Cambodia,6
2010,2010 Q4,Visa,All other institutions,Africa Sub-Saharan,Cameroon,165
2010,2010 Q4,Visa,All other institutions,America North,Canada,46
2010,2010 Q4,Visa,All other institutions,Africa Sub-Saharan,Chad,1
2010,2010 Q4,Visa,All other institutions,America Central and South,Chile,10
2010,2010 Q4,Visa,All other institutions,Asia East,China,1463
2010,2010 Q4,Visa,All other institutions,America Central and South,Colombia,1009
2010,2010 Q4,Visa,All other institutions,Africa Sub-Saharan,Comoros,2
2010,2010 Q4,Visa,All other institutions,Africa Sub-Saharan,Congo,9
2010,2010 Q4,Visa,All other institutions,Africa Sub-Saharan,Congo (Democratic Republic),3
2010,2010 Q4,Visa,All other institutions,America Central and South,Costa Rica,4
2010,2010 Q4,Visa,All other institutions,EU Other,Croatia,8
2010,2010 Q4,Visa,All other institutions,America Central and South,Dominica,1
2010,2010 Q4,Visa,All other institutions,America Central and South,Dominican Republic,2
2010,2010 Q4,Visa,All other institutions,America Central and South,Ecuador,18
2010,2010 Q4,Visa,All other institutions,Africa North,Egypt,94
2010,2010 Q4,Visa,All other institutions,America Central and South,El Salvador,1
2010,2010 Q4,Visa,All other institutions,Africa Sub-Saharan,Equatorial Guinea,1
2010,2010 Q4,Visa,All other institutions,Africa Sub-Saharan,Eswatini,1
2010,2010 Q4,Visa,All other institutions,Africa Sub-Saharan,Ethiopia,8
2010,2010 Q4,Visa,All other institutions,Oceania,Fiji,1
2010,2010 Q4,Visa,All other institutions,EU 14,France,1
2010,2010 Q4,Visa,All other institutions,Africa Sub-Saharan,"Gambia, The",27
2010,2010 Q4,Visa,All other institutions,Europe Other,Georgia,44
2010,2010 Q4,Visa,All other institutions,Africa Sub-Saharan,Ghana,68
2010,2010 Q4,Visa,All other institutions,America Central and South,Grenada,2
2010,2010 Q4,Visa,All other institutions,America Central and South,Guatemala,1
2010,2010 Q4,Visa,All other institutions,Africa Sub-Saharan,Guinea,12
2010,2010 Q4,Visa,All other institutions,Africa Sub-Saharan,Guinea-Bissau,1
2010,2010 Q4,Visa,All other institutions,America Central and South,Guyana,3
2010,2010 Q4,Visa,All other institutions,America Central and South,Haiti,3
2010,2010 Q4,Visa,All other institutions,Asia East,Hong Kong,133
2010,2010 Q4,Visa,All other institutions,Europe Other,Iceland,1
2010,2010 Q4,Visa,All other institutions,Asia South,India,8095
2010,2010 Q4,Visa,All other institutions,Asia South East,Indonesia,45
2010,2010 Q4,Visa,All other institutions,Middle East,Iran,480
2010,2010 Q4,Visa,All other institutions,Middle East,Iraq,39
2010,2010 Q4,Visa,All other institutions,EU 14,Ireland,1
2010,2010 Q4,Visa,All other institutions,Middle East,Israel,21
2010,2010 Q4,Visa,All other institutions,Africa Sub-Saharan,Ivory Coast,14
2010,2010 Q4,Visa,All other institutions,America Central and South,Jamaica,5
2010,2010 Q4,Visa,All other institutions,Asia East,Japan,129
2010,2010 Q4,Visa,All other institutions,Middle East,Jordan,35
2010,2010 Q4,Visa,All other institutions,Asia Central,Kazakhstan,104
2010,2010 Q4,Visa,All other institutions,Africa Sub-Saharan,Kenya,42
2010,2010 Q4,Visa,All other institutions,Europe Other,Kosovo,4
2010,2010 Q4,Visa,All other institutions,Middle East,Kuwait,112
2010,2010 Q4,Visa,All other institutions,Asia Central,Kyrgyzstan,26
2010,2010 Q4,Visa,All other institutions,Middle East,Lebanon,14
2010,2010 Q4,Visa,All other institutions,Africa Sub-Saharan,Liberia,2
2010,2010 Q4,Visa,All other institutions,Africa North,Libya,230
2010,2010 Q4,Visa,All other institutions,Asia East,Macau,2
2010,2010 Q4,Visa,All other institutions,Africa Sub-Saharan,Madagascar,3
2010,2010 Q4,Visa,All other institutions,Africa Sub-Saharan,Malawi,7
2010,2010 Q4,Visa,All other institutions,Asia South East,Malaysia,265
2010,2010 Q4,Visa,All other institutions,Asia South,Maldives,7
2010,2010 Q4,Visa,All other institutions,Africa Sub-Saharan,Mali,5
2010,2010 Q4,Visa,All other institutions,Africa North,Mauritania,6
2010,2010 Q4,Visa,All other institutions,Africa Sub-Saharan,Mauritius,40
2010,2010 Q4,Visa,All other institutions,America Central and South,Mexico,54
2010,2010 Q4,Visa,All other institutions,Europe Other,Moldova,5
2010,2010 Q4,Visa,All other institutions,Asia East,Mongolia,24
2010,2010 Q4,Visa,All other institutions,Europe Other,Montenegro,7
2010,2010 Q4,Visa,All other institutions,Africa North,Morocco,106
2010,2010 Q4,Visa,All other institutions,Africa Sub-Saharan,Mozambique,1
2010,2010 Q4,Visa,All other institutions,Asia South East,Myanmar (Burma),65
2010,2010 Q4,Visa,All other institutions,Africa Sub-Saharan,Namibia,2
2010,2010 Q4,Visa,All other institutions,Oceania,Nauru,1
2010,2010 Q4,Visa,All other institutions,Asia South,Nepal,513
2010,2010 Q4,Visa,All other institutions,Oceania,New Zealand,7
2010,2010 Q4,Visa,All other institutions,Africa Sub-Saharan,Niger,4
2010,2010 Q4,Visa,All other institutions,Africa Sub-Saharan,Nigeria,969
2010,2010 Q4,Visa,All other institutions,Asia East,North Korea,15
2010,2010 Q4,Visa,All other institutions,Europe Other,North Macedonia,4
2010,2010 Q4,Visa,All other institutions,Middle East,Occupied Palestinian Territories,27
2010,2010 Q4,Visa,All other institutions,Middle East,Oman,48
2010,2010 Q4,Visa,All other institutions,Other,Other and unknown,11
2010,2010 Q4,Visa,All other institutions,Asia South,Pakistan,7520
2010,2010 Q4,Visa,All other institutions,Oceania,Papua New Guinea,1
2010,2010 Q4,Visa,All other institutions,America Central and South,Peru,27
2010,2010 Q4,Visa,All other institutions,Asia South East,Philippines,605
2010,2010 Q4,Visa,All other institutions,Middle East,Qatar,84
2010,2010 Q4,Visa,All other institutions,Other,Refugee,1
2010,2010 Q4,Visa,All other institutions,Europe Other,Russia,262
2010,2010 Q4,Visa,All other institutions,Africa Sub-Saharan,Rwanda,10
2010,2010 Q4,Visa,All other institutions,Oceania,Samoa,1
2010,2010 Q4,Visa,All other institutions,Middle East,Saudi Arabia,496
2010,2010 Q4,Visa,All other institutions,Africa Sub-Saharan,Senegal,17
2010,2010 Q4,Visa,All other institutions,Europe Other,Serbia,16
2010,2010 Q4,Visa,All other institutions,Africa Sub-Saharan,Seychelles,2
2010,2010 Q4,Visa,All other institutions,Africa Sub-Saharan,Sierra Leone,9
2010,2010 Q4,Visa,All other institutions,Asia South East,Singapore,81
2010,2010 Q4,Visa,All other institutions,Africa Sub-Saharan,Somalia,1
2010,2010 Q4,Visa,All other institutions,Africa Sub-Saharan,South Africa,41
2010,2010 Q4,Visa,All other institutions,Asia East,South Korea,705
2010,2010 Q4,Visa,All other institutions,Asia South,Sri Lanka,1481
2010,2010 Q4,Visa,All other institutions,America Central and South,St Kitts and Nevis,1
2010,2010 Q4,Visa,All other institutions,America Central and South,St Lucia,5
2010,2010 Q4,Visa,All other institutions,America Central and South,St Vincent and the Grenadines,1
2010,2010 Q4,Visa,All other institutions,Africa North,Sudan,16
2010,2010 Q4,Visa,All other institutions,Middle East,Syria,51
2010,2010 Q4,Visa,All other institutions,Asia East,Taiwan,60
2010,2010 Q4,Visa,All other institutions,Asia Central,Tajikistan,3
2010,2010 Q4,Visa,All other institutions,Africa Sub-Saharan,Tanzania,64
2010,2010 Q4,Visa,All other institutions,Asia South East,Thailand,331
2010,2010 Q4,Visa,All other institutions,Africa Sub-Saharan,Togo,1
2010,2010 Q4,Visa,All other institutions,America Central and South,Trinidad and Tobago,13
2010,2010 Q4,Visa,All other institutions,Africa North,Tunisia,14
2010,2010 Q4,Visa,All other institutions,Europe Other,Turkey,520
2010,2010 Q4,Visa,All other institutions,Asia Central,Turkmenistan,55
2010,2010 Q4,Visa,All other institutions,Africa Sub-Saharan,Uganda,35
2010,2010 Q4,Visa,All other institutions,Europe Other,Ukraine,88
2010,2010 Q4,Visa,All other institutions,Middle East,United Arab Emirates,100
2010,2010 Q4,Visa,All other institutions,America North,United States,1473
2010,2010 Q4,Visa,All other institutions,America Central and South,Uruguay,1
2010,2010 Q4,Visa,All other institutions,Asia Central,Uzbekistan,29
2010,2010 Q4,Visa,All other institutions,America Central and South,Venezuela,45
2010,2010 Q4,Visa,All other institutions,Asia South East,Vietnam,304
2010,2010 Q4,Visa,All other institutions,Middle East,Yemen,24
2010,2010 Q4,Visa,All other institutions,Africa Sub-Saharan,Zambia,27
2010,2010 Q4,Visa,All other institutions,Africa Sub-Saharan,Zimbabwe,17
2010,2010 Q4,Extensions of stay,All other institutions,Asia Central,Afghanistan,13
