Year,Quarter,Type_of_application,Category_of_leave,Geographical_region,Nationality,Applications
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),America Central and South,Grenada,1
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),America Central and South,Guatemala,1
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),America Central and South,Haiti,2
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),America Central and South,Honduras,4
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Asia East,Hong Kong,6
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Asia South,India,771
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Asia South East,Indonesia,23
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Middle East,Iran,23
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Middle East,Iraq,2
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Middle East,Israel,57
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),EU 14,Italy,1
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Ivory Coast,5
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),America Central and South,Jamaica,126
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Asia East,Japan,272
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Middle East,Jordan,4
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Asia Central,Kazakhstan,11
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Kenya,49
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Asia East,Korea (North),6
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Asia East,Korea (South),104
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Middle East,Kuwait,3
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Asia Central,Kyrgyzstan,3
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Middle East,Lebanon,17
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Lesotho,1
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Liberia,1
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Africa North,Libya,1
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Europe Other,Macedonia,3
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Malawi,6
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Asia South East,Malaysia,118
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Asia South,Maldives,2
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Mali,3
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Mauritius,3
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),America Central and South,Mexico,75
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Europe Other,Moldova,15
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Asia East,Mongolia,6
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Europe Other,Montenegro,5
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Africa North,Morocco,7
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Asia South,Nepal,9
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),EU 14,Netherlands,1
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Oceania,New Zealand,76
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Niger,3
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Nigeria,185
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Middle East,Occupied Palestinian Territories,3
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Middle East,Oman,6
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Other,Other and unknown,9
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Asia South,Pakistan,159
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),America Central and South,Paraguay,2
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),America Central and South,Peru,8
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Asia South East,Philippines,56
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),America North,Puerto Rico,1
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Middle East,Qatar,1
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Other,Refugee,1
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),EU 2,Romania,1
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Europe Other,Russia,495
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Rwanda,3
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Oceania,Samoa,1
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Middle East,Saudi Arabia,11
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Senegal,18
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Europe Other,Serbia,15
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Sierra Leone,5
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Asia South East,Singapore,25
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Somalia,1
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,South Africa,99
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Asia South,Sri Lanka,80
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Africa North,Sudan,4
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Sudan (South),2
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Middle East,Syria,8
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Asia East,Taiwan,43
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Asia Central,Tajikistan,1
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Tanzania,17
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Asia South East,Thailand,34
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Oceania,Tonga,4
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),America Central and South,Trinidad and Tobago,15
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Africa North,Tunisia,3
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Europe Other,Turkey,190
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Uganda,63
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Europe Other,Ukraine,109
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Middle East,United Arab Emirates,1
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),America North,United States,5733
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),America Central and South,Uruguay,4
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Asia Central,Uzbekistan,4
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Oceania,Vanuatu,1
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),America Central and South,Venezuela,16
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Asia South East,Vietnam,12
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Zambia,6
2013,2013 Q3,Visa,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Zimbabwe,34
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Asia Central,Afghanistan,5
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Europe Other,Albania,3
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Africa North,Algeria,12
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Angola,2
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),America Central and South,Argentina,19
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Europe Other,Armenia,7
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Oceania,Australia,247
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Europe Other,Azerbaijan,6
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Middle East,Bahrain,3
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Asia South,Bangladesh,182
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),America Central and South,Barbados,7
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Europe Other,Belarus,15
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),America Central and South,Belize,1
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Benin,2
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),America Central and South,Bolivia,1
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Europe Other,Bosnia and Herzegovina,6
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Botswana,4
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),America Central and South,Brazil,54
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Other,British overseas citizens,28
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Asia South East,Brunei,11
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Burkina,1
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Asia South East,Burma,38
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Cameroon,19
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),America North,Canada,253
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),America Central and South,Chile,8
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Asia East,China,668
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),America Central and South,Colombia,29
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Congo,1
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),America Central and South,Dominican Republic,1
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),America Central and South,Ecuador,3
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Africa North,Egypt,116
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),America Central and South,El Salvador,1
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Ethiopia,2
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Oceania,Fiji,3
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,"Gambia, The",4
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Europe Other,Georgia,7
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Ghana,36
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),America Central and South,Grenada,1
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),America Central and South,Guatemala,1
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Guinea,1
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),America Central and South,Guyana,4
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Asia East,Hong Kong,28
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Asia South,India,3165
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Asia South East,Indonesia,12
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Middle East,Iran,107
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Middle East,Iraq,21
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Middle East,Israel,19
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Ivory Coast,1
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),America Central and South,Jamaica,17
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Asia East,Japan,159
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Middle East,Jordan,19
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Asia Central,Kazakhstan,34
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Kenya,57
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Asia East,Korea (North),5
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Asia East,Korea (South),75
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Europe Other,Kosovo,2
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Asia Central,Kyrgyzstan,1
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Middle East,Lebanon,22
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Africa North,Libya,20
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Asia East,Macau,1
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Europe Other,Macedonia,3
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Madagascar,1
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Malawi,3
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Asia South East,Malaysia,350
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Asia South,Maldives,6
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Mali,1
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Africa North,Mauritania,1
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Mauritius,84
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),America Central and South,Mexico,39
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Europe Other,Moldova,1
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Europe Other,Monaco,1
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Asia East,Mongolia,1
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Europe Other,Montenegro,1
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Africa North,Morocco,12
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Mozambique,1
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Asia South,Nepal,150
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Oceania,New Zealand,72
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),America Central and South,Nicaragua,1
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Nigeria,427
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Middle East,Occupied Palestinian Territories,1
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Middle East,Oman,2
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Other,Other and unknown,20
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Asia South,Pakistan,655
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),America Central and South,Paraguay,1
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),America Central and South,Peru,8
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Asia South East,Philippines,428
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Europe Other,Russia,180
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Oceania,Samoa,1
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Middle East,Saudi Arabia,4
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Senegal,1
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Europe Other,Serbia,27
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Seychelles,3
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Sierra Leone,7
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Asia South East,Singapore,81
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,South Africa,113
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Asia South,Sri Lanka,174
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Africa North,Sudan,103
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Middle East,Syria,25
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Asia East,Taiwan,25
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Asia Central,Tajikistan,1
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Tanzania,17
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Asia South East,Thailand,75
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Togo,1
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),America Central and South,Trinidad and Tobago,23
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Africa North,Tunisia,4
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Europe Other,Turkey,64
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Uganda,11
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Europe Other,Ukraine,51
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Middle East,United Arab Emirates,1
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),America North,United States,781
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),America Central and South,Uruguay,2
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Asia Central,Uzbekistan,6
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),America Central and South,Venezuela,20
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Asia South East,Vietnam,45
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Middle East,Yemen,2
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Zambia,5
2013,2013 Q3,Extensions of stay,Worker (Previously Tier 2),Africa Sub-Saharan,Zimbabwe,34
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),America Central and South,Argentina,1
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Oceania,Australia,6
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),America Central and South,"Bahamas, The",1
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Asia South,Bangladesh,1
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Botswana,1
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),America Central and South,Brazil,5
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Other,British overseas citizens,1
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Burkina,1
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Cameroon,1
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),America North,Canada,6
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Asia East,China,9
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),America Central and South,Colombia,2
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),America Central and South,Cuba,1
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Africa North,Egypt,1
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Ghana,10
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Asia South,India,5
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Asia South East,Indonesia,5
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Middle East,Iran,1
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Middle East,Israel,1
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),America Central and South,Jamaica,1
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Asia East,Japan,5
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Kenya,2
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Asia East,Korea (South),3
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Europe Other,Kosovo,1
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Middle East,Kuwait,1
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Middle East,Lebanon,1
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Madagascar,1
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Asia South East,Malaysia,4
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Mauritius,3
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),America Central and South,Mexico,1
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Africa North,Morocco,2
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Asia South,Nepal,4
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Oceania,New Zealand,1
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Nigeria,1
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Middle East,Occupied Palestinian Territories,1
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Other,Other and unknown,2
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Asia South,Pakistan,6
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),America Central and South,Peru,3
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Asia South East,Philippines,2
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Europe Other,Russia,3
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Middle East,Saudi Arabia,1
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Europe Other,Serbia,1
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Asia South East,Singapore,2
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Asia South,Sri Lanka,1
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Middle East,Syria,1
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Asia East,Taiwan,1
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Tanzania,3
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Asia South East,Thailand,2
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Europe Other,Turkey,1
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Africa Sub-Saharan,Uganda,3
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Europe Other,Ukraine,1
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),America North,United States,34
2013,2013 Q3,Extensions of stay,Temporary Worker (Previously Tier 5),Asia South East,Vietnam,1
2013,2013 Q4,Visa,Worker (Previously Tier 2),Asia Central,Afghanistan,1
2013,2013 Q4,Visa,Worker (Previously Tier 2),Europe Other,Albania,3
2013,2013 Q4,Visa,Worker (Previously Tier 2),Africa North,Algeria,9
2013,2013 Q4,Visa,Worker (Previously Tier 2),Africa Sub-Saharan,Angola,28
2013,2013 Q4,Visa,Worker (Previously Tier 2),America Central and South,Argentina,25
2013,2013 Q4,Visa,Worker (Previously Tier 2),Europe Other,Armenia,5
2013,2013 Q4,Visa,Worker (Previously Tier 2),Oceania,Australia,426
2013,2013 Q4,Visa,Worker (Previously Tier 2),Europe Other,Azerbaijan,10
2013,2013 Q4,Visa,Worker (Previously Tier 2),America Central and South,"Bahamas, The",2
2013,2013 Q4,Visa,Worker (Previously Tier 2),Middle East,Bahrain,5
2013,2013 Q4,Visa,Worker (Previously Tier 2),Asia South,Bangladesh,37
2013,2013 Q4,Visa,Worker (Previously Tier 2),America Central and South,Barbados,1
2013,2013 Q4,Visa,Worker (Previously Tier 2),Europe Other,Belarus,13
2013,2013 Q4,Visa,Worker (Previously Tier 2),America Central and South,Bolivia,2
2013,2013 Q4,Visa,Worker (Previously Tier 2),Europe Other,Bosnia and Herzegovina,4
2013,2013 Q4,Visa,Worker (Previously Tier 2),Africa Sub-Saharan,Botswana,2
2013,2013 Q4,Visa,Worker (Previously Tier 2),America Central and South,Brazil,89
2013,2013 Q4,Visa,Worker (Previously Tier 2),Other,British overseas citizens,9
2013,2013 Q4,Visa,Worker (Previously Tier 2),Asia South East,Burma,2
2013,2013 Q4,Visa,Worker (Previously Tier 2),Africa Sub-Saharan,Cameroon,7
2013,2013 Q4,Visa,Worker (Previously Tier 2),America North,Canada,219
2013,2013 Q4,Visa,Worker (Previously Tier 2),America Central and South,Chile,5
2013,2013 Q4,Visa,Worker (Previously Tier 2),Asia East,China,330
2013,2013 Q4,Visa,Worker (Previously Tier 2),America Central and South,Colombia,15
2013,2013 Q4,Visa,Worker (Previously Tier 2),Africa Sub-Saharan,Congo,1
2013,2013 Q4,Visa,Worker (Previously Tier 2),America Central and South,Costa Rica,1
2013,2013 Q4,Visa,Worker (Previously Tier 2),EU Other,Croatia,10
2013,2013 Q4,Visa,Worker (Previously Tier 2),America Central and South,Cuba,1
2013,2013 Q4,Visa,Worker (Previously Tier 2),Europe Other,Cyprus (Northern part of),11
2013,2013 Q4,Visa,Worker (Previously Tier 2),America Central and South,Dominican Republic,1
2013,2013 Q4,Visa,Worker (Previously Tier 2),America Central and South,Ecuador,1
2013,2013 Q4,Visa,Worker (Previously Tier 2),Africa North,Egypt,82
2013,2013 Q4,Visa,Worker (Previously Tier 2),America Central and South,El Salvador,2
2013,2013 Q4,Visa,Worker (Previously Tier 2),Africa Sub-Saharan,Gabon,4
2013,2013 Q4,Visa,Worker (Previously Tier 2),Europe Other,Georgia,1
2013,2013 Q4,Visa,Worker (Previously Tier 2),Africa Sub-Saharan,Ghana,13
2013,2013 Q4,Visa,Worker (Previously Tier 2),America Central and South,Guatemala,1
2013,2013 Q4,Visa,Worker (Previously Tier 2),America Central and South,Honduras,2
2013,2013 Q4,Visa,Worker (Previously Tier 2),Asia East,Hong Kong,26
2013,2013 Q4,Visa,Worker (Previously Tier 2),Asia South,India,6178
2013,2013 Q4,Visa,Worker (Previously Tier 2),Asia South East,Indonesia,23
2013,2013 Q4,Visa,Worker (Previously Tier 2),Middle East,Iran,33
2013,2013 Q4,Visa,Worker (Previously Tier 2),Middle East,Iraq,2
2013,2013 Q4,Visa,Worker (Previously Tier 2),Middle East,Israel,28
2013,2013 Q4,Visa,Worker (Previously Tier 2),Africa Sub-Saharan,Ivory Coast,1
2013,2013 Q4,Visa,Worker (Previously Tier 2),America Central and South,Jamaica,4
2013,2013 Q4,Visa,Worker (Previously Tier 2),Asia East,Japan,300
2013,2013 Q4,Visa,Worker (Previously Tier 2),Middle East,Jordan,11
2013,2013 Q4,Visa,Worker (Previously Tier 2),Asia Central,Kazakhstan,13
2013,2013 Q4,Visa,Worker (Previously Tier 2),Africa Sub-Saharan,Kenya,19
2013,2013 Q4,Visa,Worker (Previously Tier 2),Asia East,Korea (North),2
